City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Cape Town,ZA,2020-10-11 18:54:46,-33.93,18.42,62.01,77,36,10.29
70,Yaguajay,CU,2020-10-11 18:55:59,22.33,-79.24,86.13,70,100,6.67
71,Bluff,NZ,2020-10-11 18:55:59,-46.6,168.33,51.01,91,98,5.99
72,Eskil,TR,2020-10-11 18:55:59,38.4,33.41,67.68,37,0,5.53
73,Kaduna,NG,2020-10-11 18:52:11,10.52,7.44,75.07,75,25,4.07
74,Hilo,US,2020-10-11 18:53:01,19.73,-155.09,75.2,60,90,5.82
75,Mitsamiouli,KM,2020-10-11 18:56:00,-11.38,43.28,80.51,81,0,9.1
76,Mahebourg,MU,2020-10-11 18:56:00,-20.41,57.7,75.2,83,40,2.24
77,Pisco,PE,2020-10-11 18:56:00,-13.7,-76.22,71.6,64,5,8.05
78,Airai,TL,2020-10-11 18:56:00,-8.93,125.41,58.84,75,13,3.42
79,Ternate,ID,2020-10-11 18:56:01,0.8,127.4,80.31,78,100,3.18
80,Puerto Ayora,EC,2020-10-11 18:56:01,-0.74,-90.35,78.8,65,40,5.82
81,Mount Gambier,AU,2020-10-11 18:56:01,-37.83,140.77,46.4,93,93,6.93
82,Esperance,AU,2020-10-11 18:56:01,-33.87,121.9,46.4,100,0,1.81
83,Kapaa,US,2020-10-11 18:55:18,22.08,-159.32,82.4,74,40,10.29
84,New Norfolk,AU,2020-10-11 18:54:37,-42.78,147.06,42.01,89,35,2.95
85,San Juan Del Rio,MX,2020-10-11 18:56:02,20.38,-100.0,77.0,27,90,9.17
86,Teknaf,BD,2020-10-11 18:56:02,20.86,92.31,80.85,81,2,3.06
87,Andijon,UZ,2020-10-11 18:56:02,40.78,72.34,50.0,81,75,1.95
88,Kozluk,TR,2020-10-11 18:56:03,38.19,41.49,59.0,47,0,5.82
89,Effingham,US,2020-10-11 18:56:03,32.37,-81.33,89.01,62,40,10.29
90,Busselton,AU,2020-10-11 18:52:01,-33.65,115.33,48.99,77,0,6.93
91,Port Hedland,AU,2020-10-11 18:56:03,-20.32,118.57,73.4,78,0,8.05
92,Sao Joao Da Barra,BR,2020-10-11 18:53:12,-21.64,-41.05,73.4,64,90,13.87
93,Coquimbo,CL,2020-10-11 18:53:26,-29.95,-71.34,57.2,82,90,11.41
94,Portland,US,2020-10-11 18:56:04,45.52,-122.68,57.0,87,90,12.75
95,Georgetown,MY,2020-10-11 18:56:04,5.41,100.34,80.6,88,20,3.36
96,La Grande,US,2020-10-11 18:56:04,45.32,-118.09,51.8,62,75,5.82
97,Atikokan,CA,2020-10-11 18:56:05,48.76,-91.62,57.63,40,100,15.5
98,Basco,PH,2020-10-11 18:56:05,20.45,121.97,82.62,80,100,20.47
99,Taga,RO,2020-10-11 18:56:05,46.95,24.05,55.4,87,20,3.36
100,Nikolskoye,RU,2020-10-11 18:56:05,59.7,30.79,54.0,87,90,2.24
101,Sundsvall,SE,2020-10-11 18:56:06,62.39,17.31,46.4,93,90,3.36
102,Narsaq,GL,2020-10-11 18:56:06,60.92,-46.05,42.8,87,100,8.05
103,Kailua,US,2020-10-11 18:56:06,21.4,-157.74,80.6,69,40,11.41
104,Karmala,IN,2020-10-11 18:56:06,18.42,75.2,72.73,90,100,4.07
105,Kysyl-Syr,RU,2020-10-11 18:56:06,63.9,122.76,20.61,96,0,4.07
106,Castro,BR,2020-10-11 18:56:07,-24.79,-50.01,72.99,47,0,3.33
107,Polunochnoye,RU,2020-10-11 18:56:07,60.87,60.42,44.08,92,100,4.81
108,Sinnamary,GF,2020-10-11 18:56:07,5.38,-52.95,86.22,62,0,10.76
109,Anadyr,RU,2020-10-11 18:56:07,64.75,177.48,28.4,79,20,8.95
110,Aljezur,PT,2020-10-11 18:56:08,37.32,-8.8,71.19,45,0,7.92
111,Cockburn Town,TC,2020-10-11 18:56:08,21.46,-71.14,84.2,70,40,9.17
112,Jalor,IN,2020-10-11 18:56:08,25.35,72.62,82.11,29,17,1.16
113,Mount Isa,AU,2020-10-11 18:56:08,-20.73,139.5,73.4,13,52,11.41
114,Mandalgovi,MN,2020-10-11 18:56:08,45.76,106.27,26.06,79,0,7.09
115,Charters Towers,AU,2020-10-11 18:56:09,-20.1,146.27,66.31,92,72,11.32
116,Lebu,CL,2020-10-11 18:56:09,-37.62,-73.65,55.31,58,0,23.06
117,Brainerd,US,2020-10-11 18:56:09,46.36,-94.2,57.2,71,90,12.75
118,Acapulco,MX,2020-10-11 18:52:29,16.86,-99.89,86.0,70,75,2.24
119,Balod,IN,2020-10-11 18:56:09,20.73,81.2,74.86,91,30,4.63
120,Albany,US,2020-10-11 18:52:20,42.6,-73.97,57.0,45,86,6.8
121,Isangel,VU,2020-10-11 18:56:10,-19.55,169.27,76.21,82,5,14.76
122,Sangar,RU,2020-10-11 18:56:10,63.92,127.47,21.69,86,100,8.79
123,Ostrovnoy,RU,2020-10-11 18:51:39,68.05,39.51,42.71,90,99,7.96
124,Abu Samrah,SY,2020-10-11 18:56:10,35.3,37.18,65.08,40,0,1.5
125,Kahului,US,2020-10-11 18:55:41,20.89,-156.47,84.2,62,20,9.17
126,Tomatlan,MX,2020-10-11 18:56:11,19.93,-105.25,92.14,55,32,3.29
127,Kieta,PG,2020-10-11 18:56:11,-6.22,155.63,78.46,76,89,3.98
128,Athens,GR,2020-10-11 18:51:11,37.98,23.72,73.0,73,20,4.38
129,Teya,RU,2020-10-11 18:56:11,60.38,92.63,20.97,92,100,2.57
130,Ulety,RU,2020-10-11 18:56:12,51.36,112.48,24.49,88,100,4.72
131,La Ronge,CA,2020-10-11 18:56:12,55.1,-105.28,42.8,93,90,11.41
132,Srednekolymsk,RU,2020-10-11 18:56:12,67.45,153.68,22.15,87,0,3.27
133,Aden,YE,2020-10-11 18:56:12,12.78,45.04,84.31,62,0,8.93
134,Aloleng,PH,2020-10-11 18:56:12,16.13,119.78,77.63,95,100,17.07
135,Butembo,CD,2020-10-11 18:56:13,0.15,29.28,57.9,99,86,3.0
136,Akodia,IN,2020-10-11 18:56:13,23.38,76.6,75.43,41,100,4.29
137,Goderich,CA,2020-10-11 18:54:37,43.75,-81.72,59.0,67,0,1.99
138,Talnakh,RU,2020-10-11 18:56:13,69.49,88.4,23.0,92,40,22.37
139,Hualmay,PE,2020-10-11 18:56:13,-11.1,-77.61,69.46,65,6,9.91
140,Salta,AR,2020-10-11 18:55:46,-24.79,-65.41,86.0,16,0,13.87
141,Dikson,RU,2020-10-11 18:56:14,73.51,80.55,37.04,99,100,15.99
142,Saint-Philippe,RE,2020-10-11 18:56:14,-21.36,55.77,73.4,83,38,2.24
143,Binga,ZW,2020-10-11 18:56:14,-17.62,27.34,84.69,44,99,4.0
144,Hobart,AU,2020-10-11 18:55:14,-42.88,147.33,44.6,93,1,11.41
145,Ribeira Grande,PT,2020-10-11 18:56:15,38.52,-28.7,66.2,93,75,8.05
146,Vizinga,RU,2020-10-11 18:56:15,61.07,50.1,48.38,94,100,4.12
147,Emba,KZ,2020-10-11 18:56:15,48.83,58.14,46.13,48,0,6.44
148,Vredendal,ZA,2020-10-11 18:56:15,-31.67,18.5,60.69,42,0,13.98
149,Rocha,UY,2020-10-11 18:56:16,-34.48,-54.33,68.25,62,17,12.59
150,Springfield,US,2020-10-11 18:56:16,37.22,-93.3,84.0,48,1,13.87
151,Montefiascone,IT,2020-10-11 18:56:16,42.54,12.04,55.4,76,40,8.05
152,Laguna,US,2020-10-11 18:56:16,38.42,-121.42,75.99,37,1,10.29
153,Coyaima,CO,2020-10-11 18:56:16,3.8,-75.19,96.82,29,87,8.32
154,Champerico,GT,2020-10-11 18:56:17,14.3,-91.92,89.6,66,40,6.93
155,Sioux Lookout,CA,2020-10-11 18:56:17,50.1,-91.92,51.8,66,90,14.99
156,Geraldton,AU,2020-10-11 18:56:17,-28.77,114.6,60.8,82,0,9.17
157,Fortuna,US,2020-10-11 18:56:17,40.6,-124.16,66.99,72,20,6.93
158,Kiama,AU,2020-10-11 18:56:18,-34.68,150.87,57.99,92,65,1.95
159,Grand Gaube,MU,2020-10-11 18:55:04,-20.01,57.66,75.0,82,0,4.0
160,Luangwa,ZM,2020-10-11 18:56:18,-15.62,30.42,82.62,55,21,12.88
161,Sisimiut,GL,2020-10-11 18:56:18,66.94,-53.67,37.24,90,100,9.22
162,Luganville,VU,2020-10-11 18:56:18,-15.53,167.17,78.8,88,40,8.05
163,Arona,ES,2020-10-11 18:56:19,28.1,-16.68,75.2,73,97,20.8
164,Estremoz,PT,2020-10-11 18:56:19,38.84,-7.59,71.6,26,0,9.17
165,Plettenberg Bay,ZA,2020-10-11 18:56:19,-34.05,23.37,55.47,76,53,10.63
166,Port Elizabeth,ZA,2020-10-11 18:56:20,-33.92,25.57,57.2,82,75,2.24
167,Kattivakkam,IN,2020-10-11 18:56:20,13.22,80.32,78.8,83,75,6.93
168,Paamiut,GL,2020-10-11 18:56:20,61.99,-49.67,39.06,81,100,25.12
169,Hay River,CA,2020-10-11 18:56:20,60.82,-115.8,37.4,80,75,8.05
170,Fergus,US,2020-10-11 18:56:20,47.3,-109.27,51.8,34,40,34.45
171,Ndola,ZM,2020-10-11 18:56:21,-12.96,28.64,70.83,56,0,3.13
172,Carballo,ES,2020-10-11 18:56:21,43.21,-8.69,57.2,67,20,5.82
173,Montepuez,MZ,2020-10-11 18:56:21,-13.13,39.0,73.96,68,0,10.0
174,Vanimo,PG,2020-10-11 18:56:21,-2.67,141.3,76.42,85,48,6.11
175,Kavieng,PG,2020-10-11 18:56:22,-2.57,150.8,81.52,81,59,10.11
176,Sao Filipe,CV,2020-10-11 18:56:22,14.9,-24.5,79.83,79,8,10.8
177,Morondava,MG,2020-10-11 18:56:22,-20.28,44.28,75.22,73,0,12.71
178,Kruisfontein,ZA,2020-10-11 18:56:22,-34.0,24.73,55.0,79,0,1.99
179,Bereda,ES,2020-10-11 18:56:23,43.27,-7.54,54.0,89,19,1.99
180,Huarmey,PE,2020-10-11 18:56:23,-10.07,-78.15,70.25,64,15,11.54
181,Raudeberg,NO,2020-10-11 18:56:23,61.99,5.14,46.99,86,45,12.33
182,Ixtapa,MX,2020-10-11 18:56:23,20.7,-105.2,90.0,55,20,4.7
183,Novo Aripuana,BR,2020-10-11 18:56:24,-5.12,-60.38,95.2,40,75,3.4
184,Sobolevo,RU,2020-10-11 18:56:24,54.43,31.9,49.82,91,100,4.34
185,Walvis Bay,NA,2020-10-11 18:56:24,-22.96,14.51,59.0,72,0,5.82
186,Agirish,RU,2020-10-11 18:56:24,61.92,63.02,46.81,78,98,10.04
187,Belmonte,BR,2020-10-11 18:52:06,-15.86,-38.88,75.2,78,90,10.29
188,Vostok,RU,2020-10-11 18:56:25,46.49,135.88,43.18,100,100,3.71
189,Xuddur,SO,2020-10-11 18:56:25,4.12,43.89,77.07,68,83,7.52
190,Eureka,US,2020-10-11 18:52:01,40.8,-124.16,64.0,72,1,5.82
191,Uglich,RU,2020-10-11 18:56:25,57.53,38.33,47.26,75,100,5.32
192,Oktyabrskiy,RU,2020-10-11 18:56:26,54.48,53.47,43.0,61,19,6.2
193,Conakry,GN,2020-10-11 18:56:26,9.54,-13.68,82.4,83,75,6.93
194,Lompoc,US,2020-10-11 18:52:06,34.64,-120.46,73.4,64,1,5.82
195,Vila Velha,BR,2020-10-11 18:56:27,-20.33,-40.29,73.4,60,90,16.11
196,Inta,RU,2020-10-11 18:56:27,66.03,60.17,45.64,88,100,18.14
197,Birsk,RU,2020-10-11 18:56:27,55.42,55.54,41.88,66,86,6.98
198,Saint-Augustin,CA,2020-10-11 18:53:38,51.23,-58.65,37.49,78,100,18.3
199,Iqaluit,CA,2020-10-11 18:56:28,63.75,-68.51,39.2,80,75,2.24
200,Itaueira,BR,2020-10-11 18:53:04,-7.6,-43.03,92.52,37,90,2.77
201,Zlobin,HR,2020-10-11 18:56:28,45.29,14.65,51.01,87,90,3.36
202,Nanortalik,GL,2020-10-11 18:56:28,60.14,-45.24,39.63,78,100,13.0
203,Holme,DK,2020-10-11 18:56:29,56.11,10.17,46.99,93,27,1.83
204,Mazyr,BY,2020-10-11 18:56:29,52.05,29.25,55.4,79,100,2.04
205,Pueblo,US,2020-10-11 18:56:29,38.25,-104.61,82.4,9,1,18.34
206,Cabo San Lucas,MX,2020-10-11 18:56:29,22.89,-109.91,91.4,66,20,2.24
207,Banda Aceh,ID,2020-10-11 18:54:55,5.56,95.32,79.93,76,100,12.33
208,Namibe,AO,2020-10-11 18:54:07,-15.2,12.15,63.05,81,36,4.41
